datetime,product_id,product_name,category,unit_price,store_location
4/1/2024 11:00,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 11:56,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 12:24,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 12:35,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 12:47,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 13:11,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 13:21,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 13:23,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 14:12,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 14:19,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 14:21,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 14:59,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:16,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:26,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:34,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:36,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:52,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 15:58,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:09,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:20,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:28,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:31,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:52,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:55,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 16:57,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:04,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:05,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:20,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:28,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:34,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 17:43,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 18:12,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 18:18,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 18:40,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 18:59,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 19:27,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 19:39,ZdYq7CZaRfVdrOzDMeEZ,iPhone 15,Phones,899,London
4/1/2024 10:14,8KaqEeXifYym1BqTATN9,OthersBook Air M2,Others,1199,London
4/1/2024 11:43,8KaqEeXifYym1BqTATN9,OthersBook Air M2,Others,1199,London
4/1/2024 11:57,8KaqEeXifYym1BqTATN9,OthersBook Air M2,Others,1199,London
